Company Id,Upline station,Arrival Station,Scheduled Arvl Datetime,Sch Arv Date,Sch Arv Time,Gate,Departure Station,Downline Arrival Station,Scheduled Dept Datetime,Sch Dept Date,Sch Dept Time,Fleet,Tail Number
C5,IAD,RIC,2019-08-16 13:36:00,2019-08-16,13:36:00,B1,RIC,EWR,2019-08-16 14:25:00,2019-08-16,14:25:00,ERJ-145,N14162
EV,EWR,RIC,2019-08-21 21:35:00,2019-08-21,21:35:00,B2,RIC,EWR,2019-08-22 05:40:00,2019-08-22,05:40:00,ERJ-145,N12201
C5,EWR,RIC,2019-08-27 10:30:00,2019-08-27,10:30:00,B4,RIC,EWR,2019-08-27 11:00:00,2019-08-27,11:00:00,ERJ-145,N12157
YV,IAH,RIC,2019-08-28 16:05:00,2019-08-28,16:05:00,B3,RIC,IAH,2019-08-28 16:45:00,2019-08-28,16:45:00,ERJ-175,N82333
C5,IAD,RIC,2019-08-26 13:43:00,2019-08-26,13:43:00,B4,RIC,EWR,2019-08-26 14:25:00,2019-08-26,14:25:00,ERJ-145,N27152
OO,DEN,RIC,2019-08-14 23:29:00,2019-08-14,23:29:00,B1,RIC,DEN,2019-08-15 06:15:00,2019-08-15,06:15:00,ERJ-175,N106SY
EV,EWR,RIC,2019-08-27 12:58:00,2019-08-27,12:58:00,B1,RIC,ORD,2019-08-27 13:30:00,2019-08-27,13:30:00,ERJ-145,N16976
C5,EWR,RIC,2019-08-30 19:55:00,2019-08-30,19:55:00,B1,RIC,IAD,2019-08-30 20:25:00,2019-08-30,20:25:00,ERJ-145,N33182
EV,EWR,RIC,2019-08-24 16:50:00,2019-08-24,16:50:00,B1,RIC,EWR,2019-08-24 17:45:00,2019-08-24,17:45:00,ERJ-145,N13995
C5,IAD,RIC,2019-08-29 23:00:00,2019-08-29,23:00:00,B4,RIC,IAD,2019-08-30 06:40:00,2019-08-30,06:40:00,ERJ-145,N16147
YV,IAH,RIC,2019-08-27 16:05:00,2019-08-27,16:05:00,B4,RIC,IAH,2019-08-27 16:45:00,2019-08-27,16:45:00,ERJ-175,N89304
C5,EWR,RIC,2019-08-20 18:45:00,2019-08-20,18:45:00,B4,RIC,EWR,2019-08-20 19:15:00,2019-08-20,19:15:00,ERJ-145,N33182
ZW,IAD,RIC,2019-08-27 18:15:00,2019-08-27,18:15:00,B3,RIC,ORD,2019-08-27 18:45:00,2019-08-27,18:45:00,CRJ-200,N436AW
OO,ORD,RIC,2019-08-22 10:05:00,2019-08-22,10:05:00,B2,RIC,ORD,2019-08-22 10:35:00,2019-08-22,10:35:00,CRJ-200,N423SW
OO,ORD,RIC,2019-08-29 21:18:00,2019-08-29,21:18:00,B3,RIC,DEN,2019-08-30 06:15:00,2019-08-30,06:15:00,ERJ-175,N166SY
YV,IAH,RIC,2019-08-20 22:18:00,2019-08-20,22:18:00,B4,RIC,IAH,2019-08-21 06:05:00,2019-08-21,06:05:00,ERJ-175,N89313
OO,DEN,RIC,2019-08-26 23:20:00,2019-08-26,23:20:00,B1,RIC,DEN,2019-08-27 06:15:00,2019-08-27,06:15:00,ERJ-175,N109SY
C5,EWR,RIC,2019-08-26 19:55:00,2019-08-26,19:55:00,B1,RIC,IAD,2019-08-26 20:25:00,2019-08-26,20:25:00,ERJ-145,N12160
EV,EWR,RIC,2019-08-29 21:35:00,2019-08-29,21:35:00,B2,RIC,EWR,2019-08-30 09:30:00,2019-08-30,09:30:00,ERJ-145,N11548
C5,EWR,RIC,2019-08-26 10:30:00,2019-08-26,10:30:00,B4,RIC,EWR,2019-08-26 11:00:00,2019-08-26,11:00:00,ERJ-145,N12160
